data(decimal): 191, data(binary): 0010111111, data_error: 0, frame_error: 0
data(decimal): 192, data(binary): 0011000000, data_error: 0, frame_error: 0
data(decimal): 193, data(binary): 0011000001, data_error: 0, frame_error: 0
data(decimal): 194, data(binary): 0011000010, data_error: 0, frame_error: 0
data(decimal): 195, data(binary): 0011000011, data_error: 0, frame_error: 0
data(decimal): 196, data(binary): 0011000100, data_error: 0, frame_error: 0
data(decimal): 197, data(binary): 0011000101, data_error: 0, frame_error: 0
data(decimal): 198, data(binary): 0011000110, data_error: 0, frame_error: 0
data(decimal): 199, data(binary): 0011000111, data_error: 0, frame_error: 0
data(decimal): 200, data(binary): 0011001000, data_error: 0, frame_error: 0
data(decimal): 201, data(binary): 0011001001, data_error: 0, frame_error: 0
data(decimal): 202, data(binary): 0011001010, data_error: 0, frame_error: 0
data(decimal): 203, data(binary): 0011001011, data_error: 0, frame_error: 0
data(decimal): 204, data(binary): 0011001100, data_error: 0, frame_error: 0
data(decimal): 205, data(binary): 0011001101, data_error: 0, frame_error: 0
data(decimal): 206, data(binary): 0011001110, data_error: 0, frame_error: 0
data(decimal): 207, data(binary): 0011001111, data_error: 0, frame_error: 0
data(decimal): 208, data(binary): 0011010000, data_error: 0, frame_error: 0
data(decimal): 209, data(binary): 0011010001, data_error: 0, frame_error: 0
data(decimal): 210, data(binary): 0011010010, data_error: 0, frame_error: 0
data(decimal): 211, data(binary): 0011010011, data_error: 0, frame_error: 0
data(decimal): 212, data(binary): 0011010100, data_error: 0, frame_error: 0
data(decimal): 213, data(binary): 0011010101, data_error: 0, frame_error: 0
data(decimal): 214, data(binary): 0011010110, data_error: 0, frame_error: 0
data(decimal): 215, data(binary): 0011010111, data_error: 0, frame_error: 0
data(decimal): 216, data(binary): 0011011000, data_error: 0, frame_error: 0
data(decimal): 217, data(binary): 0011011001, data_error: 0, frame_error: 0
data(decimal): 218, data(binary): 0011011010, data_error: 0, frame_error: 0
data(decimal): 219, data(binary): 0011011011, data_error: 0, frame_error: 0
data(decimal): 220, data(binary): 0011011100, data_error: 0, frame_error: 0
data(decimal): 221, data(binary): 0011011101, data_error: 0, frame_error: 0
data(decimal): 222, data(binary): 0011011110, data_error: 0, frame_error: 0
data(decimal): 223, data(binary): 0011011111, data_error: 0, frame_error: 0
data(decimal): 224, data(binary): 0011100000, data_error: 0, frame_error: 0
data(decimal): 225, data(binary): 0011100001, data_error: 0, frame_error: 0
data(decimal): 226, data(binary): 0011100010, data_error: 0, frame_error: 0
data(decimal): 227, data(binary): 0011100011, data_error: 0, frame_error: 0
data(decimal): 228, data(binary): 0011100100, data_error: 0, frame_error: 0
data(decimal): 229, data(binary): 0011100101, data_error: 0, frame_error: 0
data(decimal): 230, data(binary): 0011100110, data_error: 0, frame_error: 0
data(decimal): 231, data(binary): 0011100111, data_error: 0, frame_error: 0
data(decimal): 232, data(binary): 0011101000, data_error: 0, frame_error: 0
data(decimal): 233, data(binary): 0011101001, data_error: 0, frame_error: 0
data(decimal): 234, data(binary): 0011101010, data_error: 0, frame_error: 0
